GEO.id,GEO.id2,GEO.display-label,VD002,VD003,VD004,VD005,VD006,VD007,VD008,VD010,VD011,VD012,VD013,VD014,VD015,VD016,VD017,VD018,VD019,VD020,VD021,VD022,VD023,VD024,VD025,VD026,VD027,VD028,VD029,VD030,VD031,VD032,VD033,VD034,VD035,VD036,VD037,VD038,VD039,VD040,VD041,VD042,VD043,VD044,VD045,VD046,VD047,VD048,VD049,VD050,VD051,VD052,VD053,VD054,VD055,VD056,VD057,VD058,VD059,VD060,VD061,VD062,VD063,VD064,VD065,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075,VD076,VD077,VD079,VD080,VD081,VD082,VD083,VD084,VD085,VD086,VD087,VD088,VD089,VD090,VD091,VD092,VD093,VD094,VD095,VD096,VD097,VD098,VD099,VD100,VD101,VD102,VD103,VD104,VD105
1400000US44001030901,44001030901,"Census Tract 309.01, Bristol County, Rhode Island",PLST  ,RI,140,00,000,  ,0002460,1,1,44,001,H4,  ,     ,  ,  ,     ,  ,  ,030901, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       6531621,       4269309,Census Tract 309.01,S,!,6271,2309,+41.6922645,-071.2457566,CT, ,      ,     ,01219835,01219777,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44001030902,44001030902,"Census Tract 309.02, Bristol County, Rhode Island",PLST  ,RI,140,00,000,  ,0002464,1,1,44,001,H4,  ,     ,  ,  ,     ,  ,  ,030902, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,      11843971,      14964131,Census Tract 309.02,S,!,7037,3060,+41.6796136,-071.2962651,CT, ,      ,     ,01219835,01219777,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020101,44003020101,"Census Tract 201.01, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003662,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020101, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       6348773,         46099,Census Tract 201.01,S,!,6438,2927,+41.6676674,-071.5195909,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020102,44003020102,"Census Tract 201.02, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003666,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020102, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2637755,         86972,Census Tract 201.02,S,!,4836,2201,+41.6898851,-071.5143701,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020200,44003020200,"Census Tract 202, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003670,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020200, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2868654,        230901,Census Tract 202,S,!,4905,2404,+41.7035625,-071.5198399,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020300,44003020300,"Census Tract 203, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003674,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020300, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2175865,         29815,Census Tract 203,S,!,5833,2959,+41.7100733,-071.5264110,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020400,44003020400,"Census Tract 204, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003680,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020400, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1673935,             0,Census Tract 204,S,!,2919,1348,+41.7244805,-071.5254483,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020500,44003020500,"Census Tract 205, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003684,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020500, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       4459963,        195484,Census Tract 205,S,!,4260,2049,+41.7214625,-071.5031409,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020601,44003020601,"Census Tract 206.01, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003688,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020601, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       9657174,        259822,Census Tract 206.01,S,!,6286,2225,+41.7142842,-071.5522128,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
1400000US44003020602,44003020602,"Census Tract 206.02, Kent County, Rhode Island",PLST  ,RI,140,00,000,  ,0003693,1,1,44,003,H4,  ,     ,  ,  ,     ,  ,  ,020602, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,39300,  ,99999,148,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       6519196,        300682,Census Tract 206.02,S,!,3527,1651,+41.6908998,-071.5708278,CT, ,      ,     ,01219835,01219778,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,  ,  ,1, ,     ,                  
